,brand,model,price,province,matriculation,fuel,kilometres,gear
1619,RENAULT,Scénic Intens Energy dCi 81kW (110CV),11790,Madrid,2018, Diésel,102957,Manual
1620,AUDI,Q3 2.0TDI Sport edition quattro S tronic 110kW,22400,Madrid,2016, Diésel,105467,Automático
1621,PORSCHE,Taycan 4S,129900,Málaga,2020, Eléctrico,3793,Automático
1622,BMW,Serie 5 520dA,26900,Cáceres,2017, Diésel,105417,Automático
1623,FIAT,500L 1.4 Pop Star,13490,Valencia,2018, Gasolina,7000,Manual
1624,NISSAN,X-Trail 2.0 dCi N-Connecta 4x4-i,22700,Madrid,2017, Diésel,105384,Manual
1625,RENAULT,Mégane 1.5dCi Energy Business 81kW,13900,Madrid,2018, Diésel,129173,Manual
1626,FORD,Fiesta 1.1 IT-VCT 55kW (75CV) Trend 5p,13900,Guipúzcoa,2021, Gasolina,10721,Manual
1627,PORSCHE,Taycan Berlina 476cv Automático de 5 Puertas,101900,Huesca,2021, Eléctrico,6500,Automático
1628,FIAT,Tipo 1.3 Multijet II Mirror,12998,Valencia,2020, Diésel,33741,Manual
1629,SEAT,Ibiza 1.4TDI CR S&S Reference 90,9500,Madrid,2016, Diésel,139663,Manual
1630,FIAT,500 1.0 Hybrid Dolcevita 52kW,12998,Valencia,2021, Gasolina,15135,Manual
1631,NISSAN,Qashqai 1.6dCi N-Connecta 4x2,16000,Pontevedra,2017, Diésel,100443,Manual
1632,RENAULT,Clio 1.5dCi SS Energy Business 55kW,12970,Valencia,2019, Diésel,118089,Manual
1633,VOLVO,V60 Cross Country D3 Momentum,20900,Valladolid,2016, Diésel,112105,Manual
1634,OPEL,Corsa 1.2T XHL 74KW ELEGANCE 5P,16400,Murcia,2021, Gasolina,7451,Manual
1635,SEAT,León ST 2.0TDI CR S,14950,Barcelona,2016, Diésel,60000,Manual
1636,RENAULT,Scénic 1.6dCi Edition One 96kW,13100,Madrid,2017, Diésel,109715,Manual
1637,AUDI,Q3 2.0TDI Sport edition quattro S tronic 135kW,23900,Barcelona,2017, Diésel,122356,Automático
1638,RENAULT,Clio 1.5dCi Energy Limited 66kW,11900,Cuenca,2017, Diésel,103000,Manual
1639,AUDI,A4 Avant 2.0 TDI 163cv,11990,Madrid,2013, Diésel,187366,Manual
1640,PEUGEOT,3008 1.2 PureTech 96KW (130CV) S&S Allure,23190,Madrid,2021, Gasolina,30654,Manual
1641,DACIA,Dokker Ambiance dCi 90,8590,Madrid,2014, Diésel,161783,Manual
